id,city,TenGram22K,TenGram24K
225,Gwalior,65920,70360
226,Dungarpur,65480,70390
227,Goa-panaji,65650,70260
228,Hapur,65590,70280
229,Gumla,65820,70400
230,Ganganagar,65500,70380
231,Fatehgarh,65580,70270
232,Durg,65850,70320
233,Erode,65660,70290
234,Gadchiroli,65700,70330
235,Gyanpur,65570,70270
236,Firozabad,65600,70290
237,Faridkot,65530,70360
238,Godhra,65550,70280
239,Gondia,65690,70330
240,Hajipur,65560,70400
241,Gonda,65570,70260
242,Hardoi,65600,70260
243,Giridih,65810,70440
244,Gulbarga,65570,70270
245,Haridwar,65650,70380
246,Fatehabad,65450,70350
247,Fazilka,65540,70350
248,Gaurela-pendra-marwahi,65840,70300
249,Ghaziabad,65590,70260
250,Hamirpur,65790,70380
251,Hassan,65570,70280
252,Firozpur,65530,70330
253,Godda,65810,70390
254,Guna,65910,70340
255,Guntur-amaravathi,65600,70390
256,Hissar,65490,70370
257,Hatsingimari,65750,70300
258,Jagatsinghpur,65560,70330
259,Hazaribag,65810,70400
260,Haveri,65580,70260
261,Imphal,65850,70250
262,Hawai,65560,70320
263,Jamnagar,65530,70280
264,Howrah,65580,70340
265,Jaipur,65450,70390
266,Jaisalmer,65500,70410
267,Jalgaon,65690,70340
268,Jodhpur,65470,70370
269,Kajalgaon,65710,70280
270,Jalna,65680,70360
271,Jalpaiguri,65580,70330
272,Kallakurichi,65680,70290
273,Kannur,65610,70370
274,Hojai,65710,70300
275,Itanagar,65550,70330
276,Jehanabad,65580,70400
277,Kanchipuram,65660,70260
278,Kakinada,65620,70400
279,Kakkanad,65650,70380
280,Jharsuguda,65580,70360
281,Jhunjhunu,65460,70370
282,Jorhat,65740,70300
283,Kakching,65880,70280
284,Jhansi,65590,70290
285,Kamjong,65900,70280
286,Kannauj,65590,70310
287,Jhalawar,65460,70380
288,Himatnagar,65530,70310
289,Jagdalpur,65830,70320
290,Kanker,65850,70310
291,Hingoli,65690,70330
292,Hoshiarpur,65510,70330
293,Jamui,65570,70390
294,Jhabua,65930,70360
295,Jhajjar,65500,70350
296,Kalimpong,65570,70320
297,Kalpetta,65640,70380
298,Jamshedpur,65810,70440
299,Jhargram,65590,70340
300,Kaithal,65460,70370
301,Jashpur-nagar,65840,70270
302,Hoshangabad,65920,70350
303,Jalandhar,65540,70340
304,Jamtara,65830,70400
305,Jind,65470,70380
306,Hyderabad,66000,70270
307,Indore,65950,70370
308,Jabalpur,65920,70380
309,Jalore,65480,70390
310,Jamin,65580,70330
311,Jammu,65630,70280
312,Kangpokpi,65870,70290
313,Jaunpur,65600,70310
314,Jowai,65680,70320
315,Jiribam,65860,70300
316,Kailashahar,65550,70330
317,Kanpur,65570,70260
318,Junagadh,65540,70290
